N° Election;Election;Code Commune;Commune;N° Bureau;Bureau;Circonscritpion;Canton;Inscrits;Votants;Nuls;Blancs;Exprimés;Procurations;N° Candidat;Candidat;Nombre de Voix
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;3;Ecole maternelle Jean-Jacques Rousseau;2;05;1155;601;3;4;594;43;4;M. ROQUE Manuel;1
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;3;Ecole maternelle Jean-Jacques Rousseau;2;05;1155;601;3;4;594;43;5;M. MICHEL Didier;1
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;3;Ecole maternelle Jean-Jacques Rousseau;2;05;1155;601;3;4;594;43;6;Mme BELLAREDJ Fatima;81
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;3;Ecole maternelle Jean-Jacques Rousseau;2;05;1155;601;3;4;594;43;7;Mme RESSIGUIER Muriel;22
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;3;Ecole maternelle Jean-Jacques Rousseau;2;05;1155;601;3;4;594;43;8;M. DALMAU Flavio;2
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;3;Ecole maternelle Jean-Jacques Rousseau;2;05;1155;601;3;4;594;43;9;M. OLHASQUE William;0
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;3;Ecole maternelle Jean-Jacques Rousseau;2;05;1155;601;3;4;594;43;10;Mme BRIOT Valérie;10
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;3;Ecole maternelle Jean-Jacques Rousseau;2;05;1155;601;3;4;594;43;11;Mme MANGANO Flavia;28
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;3;Ecole maternelle Jean-Jacques Rousseau;2;05;1155;601;3;4;594;43;12;M. ASSIE Frédéric;1
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;3;Ecole maternelle Jean-Jacques Rousseau;2;05;1155;601;3;4;594;43;13;Mme BRISSAUD Anne;28
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;3;Ecole maternelle Jean-Jacques Rousseau;2;05;1155;601;3;4;594;43;14;Mme YAGUE Annie;105
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;3;Ecole maternelle Jean-Jacques Rousseau;2;05;1155;601;3;4;594;43;15;Mme DEFRETIN Sophie;19
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;3;Ecole maternelle Jean-Jacques Rousseau;2;05;1155;601;3;4;594;43;16;M. LECHAT Philippe;4
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;4;Salle Pagézy;2;03;1033;464;2;2;460;23;1;M. BENALI Mahfoud;7
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;4;Salle Pagézy;2;03;1033;464;2;2;460;23;2;Mme OZIOL Nathalie;196
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;4;Salle Pagézy;2;03;1033;464;2;2;460;23;3;Mme ZBAIRI Kadija;4
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;4;Salle Pagézy;2;03;1033;464;2;2;460;23;4;M. ROQUE Manuel;1
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;4;Salle Pagézy;2;03;1033;464;2;2;460;23;5;M. MICHEL Didier;3
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;4;Salle Pagézy;2;03;1033;464;2;2;460;23;6;Mme BELLAREDJ Fatima;61
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;4;Salle Pagézy;2;03;1033;464;2;2;460;23;7;Mme RESSIGUIER Muriel;14
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;4;Salle Pagézy;2;03;1033;464;2;2;460;23;8;M. DALMAU Flavio;2
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;4;Salle Pagézy;2;03;1033;464;2;2;460;23;9;M. OLHASQUE William;0
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;4;Salle Pagézy;2;03;1033;464;2;2;460;23;10;Mme BRIOT Valérie;4
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;4;Salle Pagézy;2;03;1033;464;2;2;460;23;11;Mme MANGANO Flavia;22
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;4;Salle Pagézy;2;03;1033;464;2;2;460;23;12;M. ASSIE Frédéric;1
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;4;Salle Pagézy;2;03;1033;464;2;2;460;23;13;Mme BRISSAUD Anne;21
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;4;Salle Pagézy;2;03;1033;464;2;2;460;23;14;Mme YAGUE Annie;86
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;4;Salle Pagézy;2;03;1033;464;2;2;460;23;15;Mme DEFRETIN Sophie;35
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;4;Salle Pagézy;2;03;1033;464;2;2;460;23;16;M. LECHAT Philippe;3
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;5;Salle Pagézy;2;05;816;379;0;0;379;27;1;M. BENALI Mahfoud;7
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;5;Salle Pagézy;2;05;816;379;0;0;379;27;2;Mme OZIOL Nathalie;196
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;5;Salle Pagézy;2;05;816;379;0;0;379;27;3;Mme ZBAIRI Kadija;1
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;5;Salle Pagézy;2;05;816;379;0;0;379;27;4;M. ROQUE Manuel;0
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;5;Salle Pagézy;2;05;816;379;0;0;379;27;5;M. MICHEL Didier;0
